user_id,age,gender,city_tier,visits_30d,product_views,add_to_cart,purchases,total_spend,days_since_last_purchase,coupon_clicks,support_tickets
U1001,28,F,1,24,96,12,6,3860,4,5,0
U1002,34,M,2,18,82,9,3,2140,11,2,1
U1003,22,F,1,9,31,4,1,360,28,7,0
U1004,41,M,3,3,12,1,0,0,95,1,2
U1005,30,F,2,16,67,8,2,1288,18,6,0
U1006,37,F,1,27,130,18,7,5120,3,4,1
U1007,26,M,2,6,25,5,0,0,42,8,0
U1008,45,F,3,2,8,0,0,0,160,0,1
U1009,33,M,1,21,104,11,5,4280,8,3,0
U1010,29,F,2,12,54,7,1,760,35,9,0
U1011,39,M,3,5,19,2,1,420,74,1,2
U1012,24,F,1,20,88,10,3,1860,13,10,0
U1013,48,M,2,4,16,1,0,0,121,2,3
U1014,31,F,1,25,112,14,5,3560,6,4,0
U1015,36,M,2,10,46,6,1,690,52,6,1
U1016,27,F,3,7,22,2,0,0,39,5,0
U1017,43,M,1,17,73,8,4,2980,9,1,0
U1018,25,F,2,11,57,10,1,540,26,11,0
U1019,32,M,3,1,4,0,0,0,210,0,2
U1020,40,F,1,23,118,16,6,4720,5,3,0
U1021,35,M,2,8,34,4,1,590,88,3,1
U1022,29,F,1,15,69,6,2,1460,17,2,0
U1023,38,M,3,3,14,2,0,0,132,1,2
U1024,23,F,2,13,62,9,1,680,24,12,0
U1025,46,M,1,19,90,10,4,3140,10,3,1
U1026,28,F,3,6,28,5,0,0,44,7,0
U1027,31,M,2,14,60,6,2,980,21,5,0
U1028,42,F,1,26,125,17,7,5380,2,4,0
U1029,33,F,2,4,15,1,0,0,115,2,1
U1030,37,M,1,22,101,13,5,4020,7,6,0
U1031,27,F,3,9,38,7,1,420,31,10,0
U1032,44,M,2,2,9,0,0,0,188,0,3
